2025-06-16 01:37:26,891 - INFO - System Monitor: Starting system monitoring...
2025-06-16 01:37:26,896 - INFO - CPU: Usage: 25.0%
2025-06-16 01:37:26,896 - INFO - Memory: Usage: 80.4%
2025-06-16 01:37:27,318 - INFO - Software: PID: 3808, Name: svchost.exe, Username: None
2025-06-16 01:37:27,321 - INFO - Software: PID: 3832, Name: svchost.exe, Username: None
2025-06-16 01:37:27,325 - INFO - Software: PID: 3848, Name: svchost.exe, Username: None
2025-06-16 01:37:27,325 - INFO - Software: PID: 3856, Name: Zalo.exe, Username: DESKTOP-6FILUA8\DELL
2025-06-16 01:37:27,329 - INFO - Software: PID: 3860, Name: OfficeClickToRun.exe, Username: None
2025-06-16 01:37:27,335 - INFO - Software: PID: 3872, Name: svchost.exe, Username: None
2025-06-16 01:37:27,336 - INFO - Software: PID: 3904, Name: chrome.exe, Username: DESKTOP-6FILUA8\DELL
2025-06-16 01:37:27,339 - INFO - Software: PID: 3908, Name: svchost.exe, Username: None
2025-06-16 01:37:27,343 - INFO - Software: PID: 3932, Name: esif_uf.exe, Username: None
2025-06-16 01:37:27,347 - INFO - Software: PID: 4012, Name: svchost.exe, Username: None
2025-06-16 01:37:27,353 - INFO - Software: PID: 4068, Name: OneApp.IGCC.WinService.exe, Username: None
2025-06-16 01:37:27,353 - INFO - Software: PID: 4084, Name: SynTPHelper.exe, Username: DESKTOP-6FILUA8\DELL
2025-06-16 01:37:27,357 - INFO - Software: PID: 4128, Name: jhi_service.exe, Username: None
2025-06-16 01:37:27,361 - INFO - Software: PID: 4140, Name: LMS.exe, Username: None
2025-06-16 01:37:27,366 - INFO - Software: PID: 4160, Name: conhost.exe, Username: None
2025-06-16 01:37:27,403 - INFO - Software: PID: 4180, Name: svchost.exe, Username: None
2025-06-16 01:37:27,455 - INFO - Software: PID: 4192, Name: SMSvcHost.exe, Username: None
2025-06-16 01:37:27,468 - INFO - Software: PID: 4200, Name: MpDefenderCoreService.exe, Username: None
2025-06-16 01:37:27,472 - INFO - Software: PID: 4236, Name: svchost.exe, Username: None
2025-06-16 01:37:27,501 - INFO - Software: PID: 4248, Name: svchost.exe, Username: None
2025-06-16 01:37:27,507 - INFO - Software: PID: 4268, Name: sqlwriter.exe, Username: None
2025-06-16 01:37:27,510 - INFO - Software: PID: 4276, Name: SynTPEnhService.exe, Username: None
2025-06-16 01:37:27,517 - INFO - Software: PID: 4312, Name: svchost.exe, Username: None
2025-06-16 01:37:27,522 - INFO - Software: PID: 4332, Name: UltraViewer_Service.exe, Username: None
2025-06-16 01:37:27,527 - INFO - Software: PID: 4364, Name: svchost.exe, Username: None
2025-06-16 01:37:27,530 - INFO - Software: PID: 4372, Name: vmware-authd.exe, Username: None
2025-06-16 01:37:27,538 - INFO - Software: PID: 4408, Name: vmnetdhcp.exe, Username: None
2025-06-16 01:37:27,541 - INFO - Software: PID: 4468, Name: vmware-usbarbitrator64.exe, Username: None
2025-06-16 01:37:27,542 - INFO - Software: PID: 4492, Name: msedge.exe, Username: DESKTOP-6FILUA8\DELL
2025-06-16 01:37:27,546 - INFO - Software: PID: 4508, Name: svchost.exe, Username: None
2025-06-16 01:37:27,552 - INFO - Software: PID: 4600, Name: vmnat.exe, Username: None
2025-06-16 01:37:27,555 - INFO - Software: PID: 4660, Name: WavesSysSvc64.exe, Username: None
2025-06-16 01:37:27,559 - INFO - Software: PID: 4672, Name: WMIRegistrationService.exe, Username: None
2025-06-16 01:37:27,562 - INFO - Software: PID: 4704, Name: MsMpEng.exe, Username: None
2025-06-16 01:37:27,569 - INFO - Software: PID: 4712, Name: svchost.exe, Username: None
2025-06-16 01:37:27,570 - INFO - Software: PID: 4720, Name: FileCoAuth.exe, Username: DESKTOP-6FILUA8\DELL
2025-06-16 01:37:27,573 - INFO - Software: PID: 4784, Name: sqlservr.exe, Username: None
2025-06-16 01:37:27,577 - INFO - Software: PID: 4800, Name: ReportingServicesService.exe, Username: None
2025-06-16 01:37:27,577 - INFO - Software: PID: 4820, Name: RuntimeBroker.exe, Username: DESKTOP-6FILUA8\DELL
2025-06-16 01:37:27,578 - INFO - Software: PID: 5000, Name: svchost.exe, Username: DESKTOP-6FILUA8\DELL
2025-06-16 01:37:27,585 - INFO - Software: PID: 5008, Name: fontdrvhost.exe, Username: None
2025-06-16 01:37:27,589 - INFO - Software: PID: 5072, Name: svchost.exe, Username: None
2025-06-16 01:37:27,592 - INFO - Software: PID: 5228, Name: svchost.exe, Username: None
2025-06-16 01:37:27,596 - INFO - Software: PID: 5320, Name: SMSvcHost.exe, Username: None
